L 1,L 2,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kancheepuram,Kanniyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thiruvallur,Thiruvarur,Thoothukudi,Tiruchchirappalli,Tirunelveli Kattabo,Tiruvannamalai,Vellore,Villupuram,Virudhunagar,Grand Total
Builtup,Rural,62.49,0.02,260.30,187.50,22.74,86.52,206.33,201.71,285.63,179.83,44.12,49.74,246.02,117.28,26.07,28.87,144.94,60.67,81.81,80.18,256.22,43.50,108.76,188.89,90.99,110.75,167.49,91.23,97.36,148.98,45.85,3722.79
Builtup,Urban,4.75,157.24,310.14,68.15,10.78,44.13,97.95,180.16,36.07,35.39,38.36,88.33,28.24,63.61,13.14,5.04,30.43,8.30,74.27,49.38,76.34,22.45,200.09,9.79,49.06,125.26,55.02,20.38,89.05,31.23,52.88,2075.40
Forest,Deciduous,2.86,2.69,822.50,11.23,1084.67,912.39,719.81,71.71,82.73,73.94,935.32,360.57,1.53,273.49,718.38,80.13,9.94,6.76,1001.22,39.73,,328.98,70.03,,35.15,328.97,619.21,840.68,1112.20,547.63,128.05,11222.48
Forest,Evergreen/Semi evergreen,0.58,,526.03,0.42,425.49,201.65,1133.85,0.75,152.98,1.83,338.22,40.05,,151.70,237.62,66.25,,,360.36,,,82.86,18.21,,0.38,61.85,632.18,241.27,237.63,71.22,91.65,5075.04
Forest,Forest Plantation,69.13,,9.30,52.13,1.02,207.78,3.17,70.99,166.89,,1.92,,,1.05,288.12,0.97,125.46,,4.48,83.73,0.49,23.07,13.09,,28.89,6.08,22.04,26.63,15.30,145.86,12.57,1380.17
Forest,Scrub Forest,10.49,0.59,188.56,10.74,86.95,112.61,413.90,67.19,60.83,5.64,47.59,30.67,,27.93,192.99,54.68,32.33,,54.21,23.98,,85.98,19.74,,40.88,62.90,129.93,366.71,309.08,161.65,49.70,2648.44
Forest,Swamp / Mangroves,,,,8.48,,,,,,,,,38.14,,,,0.21,0.37,,,10.13,,,22.29,,,,,,,,79.61
Grass / Grazing,Grass / Grazing,,,0.00,,,0.87,138.19,,,31.31,,,,,,,,,0.26,,,,,,,,,,,4.10,,174.71
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,0.17,1.81,0.03,42.47,,,,89.51,4.17,,0.10,,277.54,,,,8.34,88.75,,,27.07,,105.44,94.51,122.82,,2.37,,,9.10,,874.21
Wet lands / Water bodies,Inland Wetland,,,,9.02,,,0.47,,2.35,,,,0.19,0.23,,0.18,1.30,29.45,0.05,0.26,,,0.33,,,,,,,,,43.82
Wet lands / Water bodies,River/Stream/Canals,66.85,3.51,40.63,126.41,26.91,20.14,71.22,121.11,7.11,30.90,47.78,18.20,71.75,61.84,14.06,19.30,42.25,49.71,27.29,52.86,118.20,11.52,66.90,51.94,58.41,171.05,39.37,48.92,114.97,109.56,41.04,1751.73
Wet lands / Water bodies,Water bodies,65.55,0.93,69.28,147.12,126.83,89.79,97.32,606.62,58.49,27.82,70.68,233.39,62.84,48.09,30.89,46.05,654.46,496.99,127.72,635.02,142.36,56.87,335.01,28.64,237.59,142.20,402.20,488.25,280.96,584.65,272.50,6667.09
