L 1,L 2,Bankura,Barddhaman,Birbhum,Dakshin Dinajpur,Darjiling,East Midnapore,Haora,Hugli,Jalpaiguri,Kochbihar,Kolkata,Maldah,Murshidabad,Nadia,North 24 Parganas,Puruliya,South 24 Parganas,Uttar Dinajpur,West Midnapore,Grand Total
Agriculture,Crop land,4067.54,5042.28,3522.79,1724.75,675.36,2497.89,703.23,2169.38,1938.73,2363.59,,2485.26,3999.49,2698.75,1114.64,4152.77,4539.88,2254.47,5670.92,51621.75
Agriculture,Current Shifting cultivation,0.87,1.43,10.14,0.70,549.72,18.02,12.10,0.92,1141.73,22.66,,390.75,67.14,44.55,0.02,13.25,43.71,202.78,,2520.51
Agriculture,Fallow,0.04,1.32,1.98,0.81,0.48,0.55,,0.51,,1.12,,7.45,4.79,0.88,,0.01,,0.00,16.39,36.33
Agriculture,Plantation,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Barren Rocky,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,3.11,1.01,0.65,,,,,,,,,,,,,5.21,,,7.95,17.93
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,2.17,,,2.17
Barren/unculturable/ Wastelands,Salt Affected Land,1.09,1.17,1.76,,,1.57,,,0.20,0.06,,0.11,0.31,,1.14,0.29,9.95,,1.71,19.36
Barren/unculturable/ Wastelands,Sandy Area,11.42,0.25,0.66,,3.87,,,,,,,,,,,32.03,,,2.41,50.65
Barren/unculturable/ Wastelands,Scrub Land,248.38,114.42,93.46,0.14,9.21,0.10,,,11.58,0.30,,0.63,0.99,2.45,,358.04,,0.15,244.96,1084.79
Builtup,Mining,43.57,465.40,47.97,17.68,78.13,94.28,156.97,130.34,151.78,23.38,99.06,58.84,105.00,151.84,231.09,48.09,382.85,26.52,147.08,2459.88
Builtup,Rural,744.78,740.43,487.27,386.18,218.29,1128.22,510.36,743.95,803.32,587.53,,515.19,782.37,831.64,587.98,344.54,1903.32,552.51,1427.49,13295.35
Builtup,Urban,14.18,87.94,27.10,3.47,0.37,14.54,12.56,10.59,4.31,2.07,,9.84,24.38,11.32,25.13,8.47,16.61,4.56,13.43,290.86
Forest,Deciduous,,,,,199.12,,,,,,,,,,,,,,,199.12
Forest,Evergreen/Semi evergreen,943.33,330.73,139.78,10.16,1295.64,6.23,0.01,5.03,1502.97,77.95,,8.27,9.70,3.22,1.91,917.50,5.45,7.69,1505.72,6771.30
Forest,Forest Plantation,342.37,8.28,29.60,,4.94,2.66,,,4.28,0.21,,4.89,1.34,11.77,,61.22,0.81,,262.22,734.58
Forest,Scrub Forest,145.97,8.83,17.69,,17.75,,,,19.08,,,,,0.22,,70.45,1.49,,83.19,364.68
Forest,Swamp / Mangroves,,,,,,21.45,0.22,,,,,,,,850.80,,906.67,,,1779.14
Grass / Grazing,Grass / Grazing,6.01,0.53,2.11,,4.22,0.68,1.33,0.46,88.90,6.68,,16.53,0.24,0.05,0.01,1.25,,19.89,,148.90
Snow and Glacier,Snow and Glacier,,,,,,,,,,15.66,,,,,,,,,,15.66
Wet lands / Water bodies,Coastal Wetland,,,,,,35.68,0.30,,,,,,,,8.91,,47.95,,,92.85
Wet lands / Water bodies,Inland Wetland,,5.85,0.19,0.16,0.74,3.46,6.86,11.54,11.36,0.54,,4.86,14.45,34.38,14.88,,0.51,7.88,,117.68
Wet lands / Water bodies,River/Stream/Canals,189.23,160.25,119.03,32.60,89.40,439.91,59.16,59.95,546.42,281.47,2.99,198.76,259.07,96.48,846.20,64.50,1948.51,78.64,195.08,5667.64
Wet lands / Water bodies,Water bodies,120.11,53.88,42.81,15.36,1.77,214.75,3.88,16.32,2.33,3.77,1.95,31.60,54.74,39.46,295.29,181.41,348.10,10.90,22.44,1460.87
