L 1,L 2,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittaurgarh,Churu,Dausa,Dhaulpur,Dungarpur,Ganganagar,Hanumangarh,Jaipur,Jaisalmer,Jalor,Jhalawar,Jhunjhunun,Jodhpur,Karauli,Kota,Nagaur,Pali,Rajsamand,Sawai Madhopur,Sikar,Sirohi,Tonk,Udaipur,Grand Total
Agriculture,Crop land,1939.36,5393.01,2830.19,3791.38,5880.77,4198.67,2819.75,7234.39,2859.93,4501.42,5180.72,2321.44,1454.01,1740.53,7231.36,4617.62,3816.46,4849.96,3930.42,3412.50,3065.03,6867.99,2269.35,3085.74,7211.91,4505.35,1345.92,2905.69,3580.73,1852.45,3738.79,3679.64,124112.48
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
Agriculture,Fallow,3531.54,434.61,256.94,369.57,16942.45,124.37,3751.28,11945.77,346.74,1888.75,10698.48,410.21,322.82,96.17,2176.42,4428.53,3883.83,8118.56,4915.79,385.05,1730.97,11221.32,586.38,307.20,8453.85,4218.52,808.85,398.72,2718.03,554.24,1837.92,436.51,108300.36
Agriculture,Plantation,8.45,1.66,,0.04,8.00,0.57,17.83,0.58,0.83,2.85,0.12,0.26,0.96,,5.44,0.52,1.16,19.52,0.50,12.63,0.12,12.07,0.05,0.14,0.34,26.95,,0.61,0.10,0.13,0.10,,122.52
Barren/unculturable/ Wastelands,Barren Rocky,167.93,224.91,91.08,29.33,392.41,86.99,205.35,20.20,57.16,88.61,3.32,14.75,21.89,46.72,,,66.86,1225.18,173.29,10.00,26.47,495.10,45.71,5.23,58.79,262.19,357.47,9.09,25.97,102.97,13.90,222.65,4551.52
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,31.68,92.30,9.15,56.78,21.94,3.31,11.81,83.08,171.90,,3.97,11.41,102.75,,,,191.45,,55.38,5.05,58.22,6.52,46.89,15.98,29.73,9.11,,116.33,82.25,45.05,57.21,,1319.25
Barren/unculturable/ Wastelands,Rann,,,,,3.84,,,,,,,,,,,,,36.54,59.35,,,,,,,,,,,,,,99.73
Barren/unculturable/ Wastelands,Salt Affected Land,28.77,2.08,,,173.43,3.08,,,,2.61,18.89,0.37,,,,,68.77,130.99,73.60,,,63.48,,,119.33,92.65,,0.13,10.60,9.12,,,797.88
Barren/unculturable/ Wastelands,Sandy Area,9.14,0.05,,37.17,2292.22,0.61,,6225.55,0.35,,27.17,0.41,,0.19,952.54,146.57,15.84,12130.91,124.40,,20.75,1540.95,0.08,0.29,96.77,37.33,0.04,6.61,22.40,21.65,1.98,0.55,23712.54
Barren/unculturable/ Wastelands,Scrub Land,1612.13,535.16,315.83,287.48,1878.37,381.07,2096.74,575.94,307.33,995.15,368.59,255.27,424.96,816.48,136.59,62.28,828.10,11181.37,385.13,901.45,348.87,1365.02,438.74,397.63,681.82,1490.17,1447.05,250.72,412.62,770.35,566.14,2419.37,34933.93
Builtup,Mining,23.04,10.29,0.37,1.85,14.93,0.96,28.42,15.58,31.39,21.15,4.85,1.67,0.68,3.11,0.06,0.82,14.44,22.21,0.40,8.91,7.11,41.39,0.80,22.95,34.69,6.95,47.85,0.36,4.54,4.92,3.23,29.74,409.64
Builtup,Rural,90.85,115.37,29.02,70.55,119.05,72.76,83.75,227.59,57.34,88.04,226.77,38.16,42.31,29.91,215.13,189.30,169.15,94.61,114.04,64.29,122.18,153.95,73.25,53.93,231.33,99.70,41.21,58.35,142.61,36.63,89.77,50.45,3291.35
